index, initial_mass, final_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core 
0, 0.50000, 0.50000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 0.80000, 0.80000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 1.50000, 1.50000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 2.20000, 2.20000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 0.60000, 0.60000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 0.70000, 0.70000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
6, 0.55000, 0.55000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 0.65000, 0.65000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 0.75000, 0.75000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
9, 1.00000, 1.00000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
10, 1.20000, 1.20000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
11, 1.40000, 1.40000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
12, 1.60000, 1.60000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
13, 1.80000, 1.80000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
14, 2.00000, 2.00000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
15, 0.60000, 0.60000, 0.74017495, 0.25517910, 0.00464594, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
16, 0.80000, 0.80000, 0.74017495, 0.25517910, 0.00464594, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
17, 1.00000, 1.00000, 0.74017495, 0.25517910, 0.00464594, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
18, 1.20000, 1.20000, 0.74017495, 0.25517910, 0.00464594, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
19, 1.40000, 1.40000, 0.74017495, 0.25517910, 0.00464594, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
20, 1.60000, 1.60000, 0.74017495, 0.25517910, 0.00464594, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
21, 1.80000, 1.80000, 0.74017495, 0.25517910, 0.00464594, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
22, 2.00000, 2.00000, 0.74017495, 0.25517910, 0.00464594, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
23, 2.20000, 2.20000, 0.74017495, 0.25517910, 0.00464594, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
24, 0.60000, 0.60000, 0.74754275, 0.25097345, 0.00148380, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
25, 0.80000, 0.80000, 0.74754275, 0.25097345, 0.00148380, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
26, 1.00000, 1.00000, 0.74754275, 0.25097345, 0.00148380, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
27, 1.20000, 1.20000, 0.74754275, 0.25097345, 0.00148380, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
28, 1.40000, 1.40000, 0.74754275, 0.25097345, 0.00148380, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
29, 1.60000, 1.60000, 0.74754275, 0.25097345, 0.00148380, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
30, 1.80000, 1.80000, 0.74754275, 0.25097345, 0.00148380, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
31, 2.00000, 2.00000, 0.74754275, 0.25097345, 0.00148380, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
32, 2.20000, 2.20000, 0.74754275, 0.25097345, 0.00148380, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
33, 0.60000, 0.60000, 0.75065284, 0.24919817, 0.00014900, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
34, 0.80000, 0.80000, 0.75065284, 0.24919817, 0.00014900, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
35, 1.00000, 1.00000, 0.75065284, 0.24919817, 0.00014900, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
36, 1.20000, 1.20000, 0.75065284, 0.24919817, 0.00014900, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
37, 1.40000, 1.40000, 0.75065284, 0.24919817, 0.00014900, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
38, 1.60000, 1.60000, 0.75065284, 0.24919817, 0.00014900, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
39, 1.80000, 1.80000, 0.75065284, 0.24919817, 0.00014900, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
40, 2.00000, 2.00000, 0.75065284, 0.24919817, 0.00014900, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
41, 2.20000, 2.20000, 0.75065284, 0.24919817, 0.00014900, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
42, 0.60000, 0.60000, 0.65518004, 0.30369551, 0.04112445, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
43, 0.80000, 0.80000, 0.65518004, 0.30369551, 0.04112445, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
44, 1.00000, 1.00000, 0.65518004, 0.30369551, 0.04112445, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
45, 1.20000, 1.20000, 0.65518004, 0.30369551, 0.04112445, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
46, 1.40000, 1.40000, 0.65518004, 0.30369551, 0.04112445, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
47, 1.60000, 1.60000, 0.65518004, 0.30369551, 0.04112445, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
48, 1.80000, 1.80000, 0.65518004, 0.30369551, 0.04112445, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
49, 2.00000, 2.00000, 0.65518004, 0.30369551, 0.04112445, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
50, 2.20000, 2.20000, 0.65518004, 0.30369551, 0.04112445, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
51, 1.40000, 1.40000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
