index, initial_mass, final_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core 
0, 1.40000, 0.58000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 1.40000, 0.58000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 1.40000, 0.58000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 1.40000, 0.58000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 1.40000, 0.58000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 1.40000, 0.58000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
6, 1.40000, 0.58000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 1.40000, 0.58000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 1.40000, 0.58000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
9, 1.40000, 0.60000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
10, 1.40000, 0.60000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
11, 1.40000, 0.60000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
12, 1.40000, 0.60000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
13, 1.40000, 0.60000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
14, 1.40000, 0.60000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
15, 1.40000, 0.60000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
16, 1.40000, 0.60000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
17, 1.40000, 0.60000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
18, 1.40000, 0.62000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
19, 1.40000, 0.62000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
20, 1.40000, 0.62000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
21, 1.40000, 0.62000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
22, 1.40000, 0.62000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
23, 1.40000, 0.62000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
24, 1.40000, 0.62000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
25, 1.40000, 0.62000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
26, 1.40000, 0.62000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
27, 1.40000, 0.64000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
28, 1.40000, 0.64000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
29, 1.40000, 0.64000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
30, 1.40000, 0.64000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
31, 1.40000, 0.64000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
32, 1.40000, 0.64000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
33, 1.40000, 0.64000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
34, 1.40000, 0.64000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
35, 1.40000, 0.64000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
36, 1.40000, 0.66000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
37, 1.40000, 0.66000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
38, 1.40000, 0.66000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
39, 1.40000, 0.66000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
40, 1.40000, 0.66000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
41, 1.40000, 0.66000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
42, 1.40000, 0.66000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
43, 1.40000, 0.66000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
44, 1.40000, 0.66000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
45, 1.40000, 0.68000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
46, 1.40000, 0.68000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
47, 1.40000, 0.68000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
48, 1.40000, 0.68000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
49, 1.40000, 0.68000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
50, 1.40000, 0.68000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
51, 1.40000, 0.68000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
52, 1.40000, 0.68000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
53, 1.40000, 0.68000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
54, 1.40000, 0.70000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
55, 1.40000, 0.70000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
56, 1.40000, 0.70000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
57, 1.40000, 0.70000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
58, 1.40000, 0.70000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
59, 1.40000, 0.70000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
60, 1.40000, 0.70000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
61, 1.40000, 0.70000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
62, 1.40000, 0.70000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
63, 1.40000, 0.72000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
64, 1.40000, 0.72000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
65, 1.40000, 0.72000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
66, 1.40000, 0.72000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
67, 1.40000, 0.72000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
68, 1.40000, 0.72000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
69, 1.40000, 0.72000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
70, 1.40000, 0.72000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
71, 1.40000, 0.72000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
72, 1.40000, 0.74000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
73, 1.40000, 0.74000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
74, 1.40000, 0.74000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
75, 1.40000, 0.74000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
76, 1.40000, 0.74000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
77, 1.40000, 0.74000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
78, 1.40000, 0.74000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
79, 1.40000, 0.74000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
80, 1.40000, 0.74000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
81, 1.40000, 0.76000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
82, 1.40000, 0.76000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
83, 1.40000, 0.76000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
84, 1.40000, 0.76000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
85, 1.40000, 0.76000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
